Feature_1,Feature_2,Spearman_rho,p_value
Swing,Single Support,0.9724526010032416,2.0017378471798914e-173
Stance,Double Support,0.962738799188041,2.2820992483449576e-155
Double Support,Single Support,-0.9119114116944896,1.9403573675026123e-106
Stance,Swing,-0.9087047382831082,8.074841443339326e-105
Stance,Single Support,-0.9077683760420282,3.014297254341264e-104
Swing,Double Support,-0.901773136822578,2.3329507122317473e-100
HR V,HR AP,0.7504218147315794,1.8050175546871117e-50
Age,Age Onset,0.7450176615056806,5.640465739627725e-45
Stride Length,Gait Speed,0.7078661987408599,1.6631179571707054e-42
H-Y,Updrs-III,0.6927969091772294,4.495466547496343e-31
H-Y,LEDD,0.5620560027003212,4.701564448656106e-23
Stride Length,Updrs-III,-0.539997005042355,2.28247833165501e-17
Stride Length,H-Y,-0.5118496138663341,5.776281293621307e-19
Age Onset,Duration (years),-0.49785647183947573,8.200832175509649e-17
Cadence,Gait Speed,0.49711786039222977,2.1986595939610154e-18
LEDD,Updrs-III,0.48570235409348556,9.041012299199025e-14
iHR AP,Single Support,-0.46463824212322824,1.7241525524577501e-15
HR ML,HR AP,0.4629060535044546,7.510973570126151e-16
iHR V,Stride Length,0.4628007880056959,2.934829868177252e-15
iHR AP,Swing,-0.46065377249545003,3.2066242770038393e-15
MSE V,MSE ML,0.45754180281795187,6.572360509439177e-15
iHR V,Gait Speed,0.45631673882292334,7.029313031645105e-15
HR AP,iHR V,0.4540551454258575,8.803848950520218e-15
HR AP,Updrs-III,-0.4493368136402947,6.2488574927043816e-12
Obliquity,Stride Length,0.4361510608048924,5.779095553688888e-14
iHR AP,Double Support,0.43519705663671776,1.5617992952105957e-13
HR V,Stride Length,0.43106327818481655,1.3440707415960538e-13
iHR V,Cadence,0.4256524483536312,5.919464386760366e-13
Duration (years),LEDD,0.42513428090632693,1.7550660852494605e-12
iHR AP,Stance,0.4218647056139174,8.985913923366714e-13
Gait Speed,Updrs-III,-0.4178292664938995,2.2956991670516738e-10
MSE ML,MSE AP,0.41227508156488624,3.930970876821912e-12
Gait Speed,H-Y,-0.41124612524458193,3.3870443046798807e-12
HR V,iHR V,0.4105295642316034,4.090077955802434e-12
HR V,HR ML,0.408720035148133,2.2398157620893537e-12
HR V,Updrs-III,-0.40082012390425603,1.3832594491219801e-09
HR V,H-Y,-0.39850838653055654,1.7571920938207315e-11
Duration (years),H-Y,0.3760857997477118,7.457492737002398e-10
HR AP,Stride Length,0.37297105528476326,2.647361511540911e-10
Obliquity,Gait Speed,0.37008741497660236,3.1961316998685497e-10
iHR V,Updrs-III,-0.3550975659093693,2.008629637450222e-07
%det ML,Updrs-III,-0.3544702847359713,1.8429216711923412e-07
Obliquity,H-Y,-0.3487708481454073,5.750468130426582e-09
Tilt,Obliquity,0.3408228486884848,7.98644160495325e-09
"Sex (M=1, F=2)",Updrs-III,-0.340144570759323,3.4033823099884955e-07
HR AP,H-Y,-0.3393502013679378,1.5461975582407217e-08
Obliquity,Updrs-III,-0.337600562001947,4.776328108133176e-07
Duration (years),Updrs-III,0.33195928799536034,1.3908407185789966e-06
HR AP,MSE AP,-0.3303943988916665,4.594223254442927e-08
MSE V,MSE AP,0.3299257684883807,4.811976666496885e-08
%det V,%det AP,0.3257936817560723,5.722634363663241e-08
Obliquity,Rotation (range),0.3230964109579527,5.008784657943129e-08
iHR V,H-Y,-0.32279794790599625,1.3558986054157408e-07
"Sex (M=1, F=2)",H-Y,-0.3161865439543633,1.376651422688121e-07
HR V,Gait Speed,0.31059112823682705,1.8960025944190097e-07
Stride Length,LEDD,-0.30547093153177574,4.1650362083067135e-07
Gait Speed,LEDD,-0.2980916526797703,7.714239401458611e-07
iHR V,Obliquity,0.29587767548210797,1.0830903677879248e-06
Stride Length,Cadence,0.2905212424825855,1.139776584162156e-06
Obliquity,LEDD,-0.28565440767718137,2.1798750342012444e-06
HR ML,"Sex (M=1, F=2)",0.284859826084257,1.7908084472714814e-06
Obliquity,Duration (years),-0.2657572086866339,1.7038438758629613e-05
HR V,Obliquity,0.2604444428704185,1.4594294011718212e-05
"Sex (M=1, F=2)",LEDD,-0.25994145322143863,1.6947261897571188e-05
HR AP,Obliquity,0.25831621536155347,1.723109729063738e-05
HR ML,%det ML,0.2562715998929485,2.4127416222722576e-05
Stride Length,Duration (years),-0.25567055959783425,3.7338928875712574e-05
%det ML,Gait Speed,0.25380471809018623,3.0087959537627385e-05
HR AP,Gait Speed,0.25180826176842436,2.8380811631327054e-05
iHR ML,Updrs-III,-0.25151956484835036,0.00029478479815969847
HR V,MSE V,-0.2509107116198299,4.1331750385282985e-05
%det ML,Cadence,0.24837025019781503,4.493690232000042e-05
HR AP,Duration (years),-0.2461069823715151,7.128138552634401e-05
%det ML,H-Y,-0.24526151388639314,7.081431195245972e-05
Single Support,Age,-0.24140657289836168,5.5740179470773995e-05
iHR ML,Stride Length,0.24009339251874157,8.941043582516735e-05
iHR ML,H-Y,-0.238874153427723,0.0001173100969981297
%det V,%det ML,0.23675971882518398,9.965931432940117e-05
iHR V,%det ML,0.23290338795570723,0.00013806150043777187
Swing,Age,-0.23190756344115465,0.00011017823225262352
Obliquity,Age,-0.23144536381233574,0.00011718284718136677
HR V,MSE AP,-0.23105572025404517,0.00016589168208708103
HR V,Cadence,0.230886280945503,0.0001291376563414722
iHR AP,MSE AP,-0.22491475363659133,0.0002490708082168746
HR V,%det ML,0.22412302986875704,0.00023496798414836303
MSE AP,Tilt,0.22233724818241732,0.000302517053931165
HR AP,Tilt,-0.21717034801646734,0.0003244971664385022
Rotation (range),Age,-0.21186237949752523,0.00043472757585427213
iHR AP,Cadence,-0.21043442026573847,0.0006072380030060931
%det ML,%det AP,0.20929610215253108,0.0006057133068726046
HR AP,"Sex (M=1, F=2)",0.20412300233869662,0.000707370507999184
iHR ML,Gait Speed,0.20390893903503704,0.0009010787230048063
Age Onset,LEDD,-0.2018945767520913,0.0016301518714494808
HR AP,%det ML,0.19998487818809338,0.001063159267627448
MSE AP,Updrs-III,0.19867272442873565,0.004590361401377714
Rotation (range),Stride Length,0.19803003179707473,0.0010704465255666972
HR V,%det V,0.19736602207183113,0.0012399683469974435
MSE AP,"Sex (M=1, F=2)",-0.19426280794158693,0.0016135679955664322
%det ML,Stride Length,0.19295075012900878,0.0016675501765773453
HR V,Duration (years),-0.1919817348908255,0.0020746334249640095
Cadence,Duration (years),0.19162525353162826,0.002115576152309124
HR V,"Sex (M=1, F=2)",0.19137087293416608,0.0015191925825172752
MSE ML,Cadence,0.18945825009218598,0.0021546993092511854
Stance,Age,0.18916758663919284,0.0016917001412242957
iHR ML,LEDD,-0.18825840683665396,0.0024905864789350513
HR AP,iHR AP,0.18581831089736214,0.0024821787165779582
iHR ML,Duration (years),-0.18546093271465044,0.003507119342204735
Age,H-Y,0.18365092002214425,0.0026404401791342573
Single Support,H-Y,-0.1827019054495004,0.002833198144172424
Double Support,Age,0.18269239106250657,0.0024891258665084414
HR AP,Cadence,0.18184101760537874,0.0027074836981364975
HR AP,MSE V,-0.18053124737159562,0.0034262658847753653
%det ML,"Sex (M=1, F=2)",0.17757570736699455,0.003729939444104062
MSE AP,H-Y,0.17485517393153643,0.0052873119882676815
%det V,"Sex (M=1, F=2)",0.1737945623303853,0.004547963346294062
MSE AP,Duration (years),0.17316282779893782,0.006697666948311477
Tilt,Stride Length,0.17237998630303386,0.004502231328914074
HR V,Tilt,-0.17208759778507343,0.004571762942884829
HR AP,iHR ML,0.169951120831001,0.005724730531268629
Single Support,Stride Length,0.16928273614100758,0.005205123319752868
Tilt,Gait Speed,0.16597061296333301,0.006169931253706432
Stride Length,Age,-0.16353561950551151,0.006978293617032508
MSE AP,Age Onset,-0.16300820999545393,0.012338816546581474
HR V,LEDD,-0.16240519468692524,0.008076008342120492
Cadence,Updrs-III,-0.16159538601618895,0.01855019595459057
%det ML,Obliquity,0.16128921301239058,0.00865432990526527
Cadence,H-Y,-0.16065342024501478,0.008924590100659529
iHR ML,Obliquity,0.16035627636124125,0.009321584544906138
iHR V,iHR ML,0.1598859640718435,0.009396155993868028
Cadence,Age Onset,-0.15759552324037007,0.013526542709863244
%det ML,LEDD,-0.156813719019988,0.011662543301626515
Swing,H-Y,-0.1564898599025526,0.010736355634494056
Swing,Stride Length,0.15246222617270738,0.011972575680476853
Rotation (range),H-Y,-0.1519571124319042,0.013448545984986715
%det ML,Duration (years),-0.15102266340010195,0.017314592903949162
%det V,MSE V,-0.15082638841300117,0.014730108342613842
iHR V,MSE ML,0.148067797964724,0.01667317929878492
iHR V,%det AP,0.1475708954708266,0.01662376807519776
iHR AP,%det V,0.14553574991991503,0.018199313478600147
HR ML,MSE AP,-0.1453095357723518,0.018836085707395978
HR AP,%det V,0.14424337968160386,0.018808195104756384
Age,Duration (years),0.14393511014893076,0.020985834607500278
Rotation (range),Updrs-III,-0.14188304137588953,0.03900936365673173
HR ML,Duration (years),-0.1407702852950686,0.02457090222901681
iHR V,LEDD,-0.13902239296139302,0.026129291971459197
HR ML,MSE V,-0.13791790148387797,0.02587415931639906
Single Support,Age Onset,-0.13777138240210896,0.030759875045889506
MSE AP,Cadence,0.137740283192146,0.026358414677537
HR ML,Single Support,0.13521727220132046,0.02602085147231344
HR V,Age Onset,0.13350670162322753,0.03637747153225969
iHR ML,%det ML,0.13275038998426045,0.03138721764742252
Swing,Age Onset,-0.13210327408045117,0.03840661070729979
MSE V,Updrs-III,0.12930679973953954,0.06663952577179234
MSE ML,"Sex (M=1, F=2)",-0.12830677278789268,0.038314011387643364
Rotation (range),Age Onset,-0.1266591562338477,0.04766158882195477
Age Onset,Updrs-III,-0.126585279892955,0.07706471173649951
Rotation (range),Single Support,0.12649604968928246,0.03706920765263688
Obliquity,Cadence,0.1253868141633444,0.0391379241685694
HR ML,Stride Length,0.12530349136710695,0.040008554187375985
%det AP,"Sex (M=1, F=2)",0.12526197190720886,0.041599001804402944
iHR AP,Stride Length,-0.12466172343160752,0.04420299282350928
HR V,iHR AP,0.12323823521799894,0.045859302035662325
MSE V,Cadence,0.12284800745320414,0.047836102919960495
MSE ML,Age Onset,-0.12196379357521178,0.061947030112136356
Double Support,Age Onset,0.12130539419874219,0.05795645947344337
HR AP,LEDD,-0.12014885807382261,0.050734485865310874
Rotation (range),Gait Speed,0.11957952700461029,0.04924206312874325
"Sex (M=1, F=2)",Duration (years),-0.11954653900237612,0.05561965785718813
HR AP,%det AP,0.11846035719160251,0.05409613882927949
iHR ML,Tilt,0.11818131116781652,0.05607075383774349
Swing,Duration (years),-0.11756283119209011,0.06033759933315773
Single Support,LEDD,-0.11658499196273969,0.05756848977302519
MSE V,Tilt,0.11645954798605898,0.06076642140367277
HR ML,Swing,0.11625573571524035,0.05594667836513803
Tilt,Rotation (range),0.11585819058768457,0.056337743455842144
MSE ML,Double Support,-0.11538814740316679,0.0631941282135608
iHR AP,LEDD,0.114311940773602,0.0678456767547849
HR ML,Tilt,-0.11402248834781442,0.06134584023710399
Gait Speed,Duration (years),-0.1136392181926596,0.07004336992417565
HR ML,Updrs-III,-0.11334238606808136,0.09979651483199127
Single Support,Duration (years),-0.11223921809961965,0.07301966725016079
iHR AP,Tilt,-0.11094064477232621,0.07302368525971475
iHR ML,MSE V,-0.10969516288206702,0.07689128095070509
Tilt,Duration (years),-0.10917795298113367,0.08184642687958722
HR V,%det AP,0.10874852758590092,0.07719914677826392
iHR AP,Gait Speed,-0.10768658206291046,0.0818962911515831
Swing,LEDD,-0.10554194661461684,0.08579077836382856
%det V,Gait Speed,0.1044531538210553,0.09031362829789258
HR V,iHR ML,0.10434973066580047,0.0912537391570968
HR ML,MSE ML,-0.10407353911149606,0.09337669643501137
Stance,Duration (years),0.10406668075571526,0.09662663554810562
HR ML,Stance,-0.10297610108740932,0.09067167089351222
Rotation (range),Double Support,-0.10285523321312053,0.09105305558971535
iHR V,MSE AP,-0.10125368649919421,0.10264810433146483
Rotation (range),Swing,0.10113196952146188,0.09601256143421397
%det V,Tilt,-0.1010358839588774,0.10141269589940426
Stance,H-Y,0.10091228932620125,0.10118114532645518
Stance,Age Onset,0.10047584783429574,0.11598397397706779
MSE V,Duration (years),0.0997623298484683,0.12013315428659893
Rotation (range),Stance,-0.09961395595588196,0.1011321808983349
HR AP,Age Onset,0.09951701333515894,0.11952260991382904
%det AP,Gait Speed,0.0989546239176931,0.1086848844964609
MSE ML,Stance,-0.09748992466996624,0.11614014585171327
iHR V,Duration (years),-0.09568504207477803,0.13450951285287002
MSE V,H-Y,0.09466756195825267,0.13317521252066064
MSE ML,Tilt,0.09418942644966288,0.12982040832089023
%det ML,Rotation (range),0.09347029645403968,0.1298169490186859
MSE V,Stride Length,-0.09332775453738118,0.13413993299317228
%det AP,Age,-0.09256029131612019,0.13287063003298952
Double Support,H-Y,0.0923417772165773,0.13453492800897604
HR V,Single Support,0.09225352191305897,0.12979849781816646
HR AP,Age,-0.09142258082114994,0.1325846435170737
HR ML,Double Support,-0.09133757992001172,0.13439397421986427
iHR AP,MSE ML,-0.09102108662775349,0.1425180456479456
%det V,Cadence,0.09033237406557236,0.1432604036749616
Tilt,Age,-0.09020431829597263,0.13784526091025076
Obliquity,Swing,0.08844011777318087,0.14574500231521953
Tilt,LEDD,-0.08742877260451931,0.1550468602564903
%det V,MSE ML,0.08712062218447217,0.16050035233388824
HR ML,Obliquity,0.08663314493240182,0.15572601779813142
MSE AP,LEDD,0.08506381698584382,0.17654876539874004
Rotation (range),Duration (years),-0.08458759643323101,0.17813045094442528
Obliquity,Single Support,0.0842218008013482,0.1660259640766371
Age,Updrs-III,0.08413214471843122,0.22030664497739133
Stance,Stride Length,-0.08365891191093731,0.16967712277217264
iHR AP,Age Onset,0.08314986041172058,0.20212600272836637
Gait Speed,Age,-0.08213190518689645,0.17682399552288625
MSE V,"Sex (M=1, F=2)",-0.0820223784783489,0.18650850350374215
%det AP,MSE AP,-0.08177214720479013,0.18786040836729506
iHR ML,Swing,0.08159871391566824,0.18710012438873092
%det AP,Stride Length,0.08095102954921618,0.19063578024685046
MSE ML,Swing,0.08093404635340308,0.1924407068801732
MSE V,Age Onset,-0.08000586771154869,0.22175051125784892
iHR V,MSE V,-0.07943598640952905,0.20083009987264033
Rotation (range),LEDD,-0.07931141637809261,0.1972345969304519
MSE AP,Stride Length,-0.07816868515632959,0.20990004399470957
HR ML,LEDD,-0.07676033887801645,0.21294831983164134
%det AP,Updrs-III,-0.07647227485385548,0.27579336453568515
Double Support,Updrs-III,-0.07637185175856775,0.26827915856503437
%det AP,Age Onset,-0.07632528227040493,0.23979894865720514
Double Support,Stride Length,-0.07630462418769979,0.21136577609805204
%det ML,Double Support,0.07584414483374391,0.2193554871669071
HR V,Swing,0.07555529832675408,0.21504167869251573
MSE V,LEDD,0.0752309068310434,0.23217952500123798
MSE ML,Single Support,0.07444219272300065,0.23070625015269192
MSE ML,Duration (years),0.07373601507345486,0.2511991936679365
Stance,Updrs-III,-0.07048067369994267,0.3059049596135929
iHR V,Rotation (range),0.0704405867156577,0.2558977380846617
iHR ML,Single Support,0.06977337119962332,0.25952320166598974
MSE V,Rotation (range),0.06902058184701695,0.26748028223108095
Age,"Sex (M=1, F=2)",-0.06810046621604995,0.2612614890296719
HR V,Rotation (range),-0.06704389872779541,0.2723057398938951
Double Support,Duration (years),0.06656276581063442,0.2896568470549848
HR V,Stance,-0.06651040608359518,0.2752522148426986
Rotation (range),"Sex (M=1, F=2)",0.06649537890316971,0.27446875269600063
iHR AP,Updrs-III,-0.06617939300809646,0.3481840349448103
%det ML,MSE ML,-0.06502349410484998,0.2953060439608962
iHR V,%det V,0.06457855216179993,0.29676811913410317
Stride Length,"Sex (M=1, F=2)",0.06368366551498693,0.29621703504308045
%det V,Stance,0.0629842546220403,0.3070284855054375
iHR ML,iHR AP,0.060847572593158226,0.3256110705715124
%det ML,Stance,0.06017629923204064,0.32913730841049615
HR V,Double Support,-0.060032048789747126,0.32573675740627694
MSE ML,Gait Speed,0.05996971815300138,0.335451901778969
%det ML,Age,-0.05906173072776462,0.3381905452995295
iHR V,Single Support,0.05902865676270043,0.34030849819331654
Cadence,Age,-0.05820742162755981,0.3388845915972267
MSE ML,Age,-0.058093251186772,0.34988615359905817
Obliquity,"Sex (M=1, F=2)",0.057136450173776096,0.3478612218354985
HR ML,Age Onset,0.05586477611486602,0.3829773303820695
Stride Length,Age Onset,0.05544299615169514,0.38756212856739714
iHR V,Swing,0.05538700185214966,0.37098240879662914
HR ML,Rotation (range),0.054415199610033604,0.37311981403793104
%det V,Obliquity,-0.054199413508958724,0.380431056984171
%det ML,MSE V,-0.054148984459285815,0.38362089820452994
MSE ML,LEDD,0.05362790894645941,0.39472204815175116
iHR ML,Age,-0.053025483683475656,0.391756963519186
%det AP,H-Y,-0.052976230118762596,0.39770469527045926
iHR ML,Double Support,-0.05289903097357644,0.39379866744078873
HR ML,iHR ML,0.052501443618896484,0.39646040479730604
%det V,Double Support,0.05221640500085237,0.3981293437779495
HR AP,MSE ML,-0.052097340717852075,0.4019252244917695
iHR AP,Obliquity,-0.05167299009962016,0.40486853363944064
Tilt,"Sex (M=1, F=2)",-0.05036267037535744,0.40806569828970973
Cadence,"Sex (M=1, F=2)",0.0491641980040256,0.41932603905823085
MSE ML,Updrs-III,0.049012923734196585,0.48849909293615323
HR ML,Gait Speed,0.04827653593973826,0.42950158104515757
MSE AP,Rotation (range),0.047587484789281716,0.44483096650368115
Double Support,Gait Speed,0.04754689895649836,0.4356594913204318
%det AP,MSE ML,0.0469109225363628,0.45046078261808953
%det AP,Cadence,0.04640095220239782,0.4528012065245225
iHR AP,Age,0.04629012187766663,0.45474692791027693
%det V,Single Support,-0.04628148283011224,0.4531050317562779
HR ML,Age,-0.045753710296208755,0.45234696154422627
iHR AP,H-Y,0.04567723518449329,0.4677146531083619
HR ML,H-Y,-0.04510507315236282,0.46553409656523126
Double Support,LEDD,0.04443827511713112,0.47131633449222954
HR V,MSE ML,-0.044329627115334364,0.4757961472079216
%det ML,Tilt,0.04421895607341951,0.474353436170463
iHR AP,"Sex (M=1, F=2)",0.044217306944841196,0.47521613761786485
HR ML,iHR AP,0.04406270242778889,0.4767627543630337
MSE ML,Obliquity,-0.04402941194529285,0.47964415424967166
%det AP,Rotation (range),0.043993234595971625,0.4766144911054899
HR AP,Single Support,0.04356886380245446,0.4750676892919927
iHR AP,MSE V,-0.043321276491395666,0.48590007642655675
MSE AP,Obliquity,-0.04313826711389322,0.48858913880031496
Cadence,LEDD,0.04287299355451138,0.487091568519173
HR ML,iHR V,0.04170930013094653,0.5006404470982554
Single Support,Gait Speed,0.0411840951213465,0.4987965732537568
MSE AP,Gait Speed,0.04116738040227479,0.5086855209239105
iHR ML,Stance,-0.0411203680402462,0.506712865196538
MSE V,Single Support,-0.040651910057809,0.513195726470874
%det AP,Tilt,0.040077903232208674,0.5167525312578556
%det V,Stride Length,-0.04002138785899437,0.5181464378532559
%det V,Updrs-III,-0.03976103940252381,0.5713704746225421
Obliquity,Stance,-0.03859311034504586,0.5262121457847906
Obliquity,Double Support,-0.03820109514150134,0.5311895721308197
Single Support,Updrs-III,-0.037839435661942006,0.5828713305376014
HR V,Age,-0.03771487835435359,0.5356755706303906
Stance,LEDD,0.03711285612970736,0.5467419230415155
MSE ML,Rotation (range),0.036174041123140994,0.5614639085796798
Stance,Gait Speed,0.035703503551472865,0.5576655689134977
HR AP,Stance,-0.03562126707183547,0.5593045165155435
Age Onset,H-Y,-0.03553732338976633,0.5830104148624164
iHR V,Age,-0.03549280551352032,0.5666206973792858
Double Support,"Sex (M=1, F=2)",0.03543676316979056,0.56061427062435
Tilt,Double Support,0.03523762951669138,0.5635459286381723
%det V,Swing,-0.03513820074551535,0.5690302103162931
%det AP,LEDD,0.03484409569357583,0.5774382162953209
iHR AP,%det AP,0.034619422511732084,0.5762122215679266
Tilt,Updrs-III,-0.03423664837281848,0.6201122622776787
iHR V,Age Onset,0.03396117097002242,0.6029162092889049
HR ML,%det AP,0.0335768608140408,0.5863304898180772
Stance,"Sex (M=1, F=2)",0.03314733034394008,0.5855330000974414
%det AP,Swing,0.0316025366767399,0.6085474123766225
MSE V,Swing,-0.03157574312569902,0.6115936963036162
iHR ML,%det AP,0.03137286720960764,0.6125171751668274
Tilt,Swing,0.030918484919789137,0.6116681236371435
Tilt,Stance,0.030786926052252715,0.6131848870966983
Gait Speed,"Sex (M=1, F=2)",-0.030567524940351264,0.6157180632462995
Double Support,Cadence,0.030037206594835754,0.6225070770883242
MSE AP,Swing,0.02998599639981885,0.6296483781134952
iHR ML,Rotation (range),0.02979551741017554,0.6311682631006403
MSE V,Double Support,0.02959697055837862,0.6347574648945589
Tilt,H-Y,-0.029083224821926847,0.6380666429301476
HR AP,Swing,0.028644370669400142,0.6387390506975639
iHR ML,"Sex (M=1, F=2)",0.02740111656207103,0.6582447510979281
%det ML,MSE AP,0.0268076411040573,0.6664033595994185
MSE AP,Double Support,-0.026797542368691658,0.667128255280697
iHR AP,Rotation (range),-0.026567797500578975,0.6686098251985644
%det ML,Swing,-0.026356109016051014,0.6693120529676919
%det V,Rotation (range),-0.02467950543340847,0.6897808337313671
MSE AP,Stance,-0.024483724792173322,0.6937972691828765
iHR ML,%det V,0.02398861027518203,0.6985840478302245
%det V,MSE AP,0.02389287202938407,0.7008277973940507
Swing,Cadence,0.023676816479357668,0.6974653540759038
MSE V,Stance,0.023429707755238116,0.7063568708414155
iHR ML,Age Onset,0.022370715047334712,0.7318882487424863
iHR ML,Cadence,0.022138190121151768,0.7213401857508344
Single Support,Cadence,0.021421417631501186,0.7250599530949343
Swing,Updrs-III,-0.021371057210572985,0.7564846297089236
%det V,Duration (years),0.020510851521207924,0.747901834341666
Swing,Gait Speed,0.0203156622904167,0.738722265536513
%det ML,Single Support,-0.020032841834997397,0.7454823066177749
HR AP,Double Support,-0.019868986088520762,0.7451824876519492
Age,LEDD,0.019612018486550385,0.74973396650919
MSE V,Obliquity,-0.01935600170730024,0.7560808421612968
iHR V,Stance,-0.01919804290826454,0.7566480287911983
iHR V,"Sex (M=1, F=2)",0.018612933102904978,0.7638421058585863
HR AP,Rotation (range),0.017674482411888296,0.7725074935717298
%det AP,Stance,0.01646905010259361,0.7895866174087723
iHR V,iHR AP,0.016121185454838437,0.7946992562651494
%det V,Age,0.015775376057171983,0.7982547414127394
Rotation (range),Cadence,-0.015305927877230164,0.8019553022824185
HR ML,%det V,0.015277803782538664,0.8044877182002563
%det AP,MSE V,-0.015026010775983775,0.8090892728197916
%det V,LEDD,-0.014736094566326309,0.8137739852841693
%det AP,Double Support,0.012904014752778947,0.8346986721648894
Tilt,Cadence,0.012845691576023189,0.833279027278855
MSE ML,Stride Length,0.012544825794688292,0.8407601681123766
Swing,"Sex (M=1, F=2)",-0.012467461826919454,0.8375259919191423
MSE V,Gait Speed,-0.01140279798509915,0.8548100895100328
%det AP,Obliquity,0.01102335526772338,0.8585157791200585
iHR AP,%det ML,-0.010053917521771108,0.8710896118825464
iHR ML,MSE AP,-0.010037699376660922,0.8717864804017725
%det ML,Age Onset,0.009692333320433164,0.881508052834184
HR ML,Cadence,0.009111499275156544,0.8815333635256103
%det AP,Duration (years),0.009100562104100268,0.886610276250343
iHR V,Double Support,0.008947945413920135,0.8853855715015881
Stance,Cadence,0.008320970769536333,0.8913443470650076
MSE V,Age,-0.00828985098203167,0.8939671183804644
iHR V,Tilt,-0.00799550890804896,0.8975144327045745
MSE ML,H-Y,0.007979592472067386,0.899497086236708
Tilt,Single Support,0.007185860585324452,0.9060930266061882
Tilt,Age Onset,-0.006701522775619205,0.9168835429457904
iHR ML,MSE ML,0.00656084695384703,0.9159900940324908
Single Support,"Sex (M=1, F=2)",-0.006258662091013623,0.9180132997320288
%det AP,Single Support,0.005560961486325475,0.928208820353768
MSE AP,Age,-0.0040990657630376294,0.9474535774462034
%det V,Age Onset,-0.00378140269171872,0.9536269268551909
Gait Speed,Age Onset,0.0034247535388102447,0.9574674761714415
"Sex (M=1, F=2)",Age Onset,0.0010841008161614082,0.9864752593073911
MSE AP,Single Support,-0.0009174328955321872,0.9882312756026618
%det V,H-Y,-0.0007025015027501177,0.99105824854466
Obliquity,Age Onset,0.00021079590231075216,0.9973808656058121
iHR AP,Duration (years),-0.00020575681205098497,0.997438210254451
